
name,address,lat,lng
St. Paul's on the Hill,"Parkway Storage, 1535 Pickering Pkwy, Pickering, ON L1V 7E9",43.837018,-79.077536
Salvation Army,"122 Hunt St, Ajax, ON L1S 1P5",43.846598,-79.0245
Brock Community Food Bank,"523 Simcoe St, Beaverton, ON L0K 1A0",44.427719,-79.148396
Scarborough Centre for Healthy Communities,"4100 Lawrence Ave E, Scarborough, ON",43.766532,-79.19473
CHATS - Community and Home Assistance to Seniors,"240 Edward St, Suite 1, Aurora, ON L4G 3S9",43.998223,-79.47412
CHATS - Community and Home Assistance to Seniors,"240 Edward St, Suite 1, Aurora, ON L4G 3S9",43.998223,-79.47412
Clarington East Food Bank,"279 King Ave E, Newcastle, ON L1B 1H4",43.918571,-78.58314
East Gwillimbury Food Pantry,"Holland Landing Branch, 19513 Yonge St, Holland Landing, ON L9N 1P2",44.104752,-79.490865
Mount Albert United Church,"41 Alice St, Mount Albert, ON L0G 1M0",44.1357,-79.306598
Georgina Community Food Pantry,"The Link, 20849 Dalton Rd, Sutton, ON L0E 1R0",44.306219,-79.362925
Routes Connecting Communities,"The Link, 20849 Dalton Rd, Sutton, ON, Canada L0E 1R0",44.306219,-79.362925
Keswick United Church,"177 Church St, Keswick, ON L4P 1J4",44.243995,-79.468235
Maple Hill Baptist Church,"215 Glenwoods Ave, Keswick, ON L4P 2W6",44.212021,-79.463618
Salvation Army of Georgina Community Church,"1816 Metro Rd, Georgina, ON L0E 1L0",44.31622,-79.396768
King Township Food Bank,,44.000804,-79.683158
Church of St Jude (Wexford) Deacons Pantry,"Church of St Jude (Wexford), 10 Howarth Ave, Toronto, ON M1R 1H4",43.738631,-79.307385
Thorncliffe Food Bank,"1 Leaside Park Dr, Unit 5B, Toronto, ON M4H 1R1",43.702539,-79.351572
Native Women's Resource Centre of Toronto,"191 Gerrard St E, Toronto, ON M5A 2E5",43.660901,-79.372559
Grace Community Food Share,"Grace Chinese Gospel Church of North York, 201 Tempo Ave, Toronto, ON M2H 2R9",43.805226,-79.339691
"Canadian Red Cross, Toronto Branch","557 Dixon Rd, Unit 110, 118 and 122, Toronto, ON M9W 6K1",43.690094,-79.57167
Covenant House Toronto,"20 Gerrard St E, Toronto, ON M5B 2P3",43.659225,-79.381411
Daily Bread Food Bank,"191 New Toronto St, Toronto, ON M8V 2E7",43.60647,-79.504047
Eastview Neighbourhood Community Centre,"86 Blake St, Toronto, ON M4J 3C9",43.675055,-79.33978
St James Food Basket,"St James United Church, 400 Burnhamthorpe Rd, Toronto, ON M9B 2A8",43.646762,-79.556239
