
geography,percentage
Algoma Public Health,25.6
Brant County Health Unit,25.4
Haldimand-Norfolk Health Unit,25.4
Chatham-Kent Public Health,24.3
Durham Regional Health Department,24.8
Eastern Ontario Health Unit,25.7
Grey Bruce Health Unit,23.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",23.8
Halton Regional Health Unit,20.4
City of Hamilton Public Health Services,28.4
Hastings and Prince Edward Counties Health Unit,25.9
Huron Perth Public Health,19.8
"Kingston, Frontenac and Lennox & Addington Public Health",25.9
Lambton Public Health,25.4
"Leeds, Grenville and Lanark District Health Unit",25.9
Middlesex-London Health Unit,28.2
Niagara Region Public Health,27.7
North Bay Parry Sound District Health Unit,29.5
Northwestern Health Unit,22.4
City of Ottawa Public Health,24.7
Region of Peel Public Health,24.7
Peterborough Public Health,23.8
Porcupine Health Unit,29.1
Renfrew County and District Health Unit,30.0
Simcoe Muskoka District Health Unit,26.3
Southwestern Public Health,21.3
Sudbury and District Health Unit,22.1
Thunder Bay District Health Unit,23.9
Timiskaming Health Unit,29.1
City of Toronto Public Health,24.7
Waterloo Region Public Health,25.0
Wellington-Dufferin-Guelph Public Health,24.2
Windsor-Essex County Health Unit,25.7
York Region Public Health,20.8
