ontario_phu_percentage (2)
geography,percentage,latitude,longitude
Algoma Public Health,25.6,46.55889,-84.34694
Brant County Health Unit,25.4,43.15694,-80.25750
Haldimand-Norfolk Health Unit,25.4,42.83333,-80.30000
Chatham-Kent Public Health,24.3,42.40000,-82.18333
Durham Regional Health Department,24.8,43.93250,-78.95444
Eastern Ontario Health Unit,25.7,45.02750,-74.74000
Grey Bruce Health Unit,23.5,44.56778,-80.94306
"Haliburton, Kawartha, Pine Ridge District Health Unit",23.8,43.95000,-78.30000
Halton Regional Health Unit,20.4,43.45639,-79.71389
City of Hamilton Public Health Services,28.4,43.24278,-79.98944
Hastings and Prince Edward Counties Health Unit,25.9,44.16700,-77.38300
Huron Perth Public Health,19.8,43.37083,-80.98194
"Kingston, Frontenac and Lennox & Addington Public Health",25.9,44.23056,-76.48111
Lambton Public Health,25.4,42.98139,-82.31778
"Leeds, Grenville and Lanark District Health Unit",25.9,44.58300,-75.68300
Middlesex-London Health Unit,28.2,42.96750,-81.23250
Niagara Region Public Health,27.7,43.11700,-79.20000
North Bay Parry Sound District Health Unit,29.5,46.30917,-79.46139
Northwestern Health Unit,22.4,49.76700,-94.48300
City of Ottawa Public Health,24.7,45.42472,-75.69500
Region of Peel Public Health,24.7,43.60000,-79.65000
Peterborough Public Health,23.8,44.30111,-78.33333
Porcupine Health Unit,29.1,48.47167,-81.33139
Renfrew County and District Health Unit,30.0,45.81700,-77.10000
Simcoe Muskoka District Health Unit,26.3,44.37111,-79.67694
Southwestern Public Health,21.3,42.77500,-81.18300
Sudbury and District Health Unit,22.1,46.57778,-81.06944
Thunder Bay District Health Unit,23.9,48.38222,-89.24611
Timiskaming Health Unit,29.1,47.51700,-79.68300
City of Toronto Public Health,24.7,43.65250,-79.38167
Waterloo Region Public Health,25.0,43.46700,-80.51700
Wellington-Dufferin-Guelph Public Health,24.2,43.53583,-80.22889
Windsor-Essex County Health Unit,25.7,42.30222,-82.99361
York Region Public Health,20.8,44.05806,-79.45833
